dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,8,2034,6.0,5,7,7,-54.899339704590254,7,-83.0,93.0,176.0,0.5284090909090909,176.0,0.42857142857142855,-11.857142857142858,44.0,4
test,1,0,22406,22406,53560,0,8,2034,6.0,5,7,7,-313.0495168499706,20,-280.0,248.0,528.0,0.4696969696969697,347.0,0.4,-14.0,44.0,4
train,1,0,22406,22406,53560,1,8,2034,6.0,5,7,7,-54.899339704590254,7,-83.0,93.0,176.0,0.5284090909090909,176.0,0.42857142857142855,-11.857142857142858,44.0,4
test,1,0,22406,22406,53560,1,8,2034,6.0,5,7,7,-313.0495168499706,20,-280.0,248.0,528.0,0.4696969696969697,347.0,0.4,-14.0,44.0,4
train,1,0,22406,22406,53560,2,4,1694,8.75,4,8,9,81.0,9,54.0,216.0,162.0,1.3333333333333333,108.0,0.6666666666666666,6.0,54.0,2
test,1,0,22406,22406,53560,2,4,1694,8.75,4,8,9,-1038.5984402068011,32,-918.0,324.0,1242.0,0.2608695652173913,918.0,0.28125,-28.6875,54.0,5
train,1,0,22406,22406,53560,3,4,1694,8.75,4,8,7,6.0,9,4.0,180.0,176.0,1.0227272727272727,104.0,0.5555555555555556,0.4444444444444444,44.0,2
test,1,0,22406,22406,53560,3,4,1694,8.75,4,8,7,-778.3831447301516,32,-688.0,324.0,1012.0,0.3201581027667984,688.0,0.28125,-21.5,44.0,5
train,1,0,22406,22406,53560,4,6,565,4.25,4,8,5,100.62305898749054,20,90.0,396.0,306.0,1.2941176470588236,136.0,0.55,4.5,34.0,4
test,1,0,22406,22406,53560,4,6,565,4.25,4,8,5,-327.7002898991699,47,-478.0,576.0,1054.0,0.5464895635673624,552.0,0.3404255319148936,-10.170212765957446,34.0,10
train,1,0,22406,22406,53560,5,4,1308,8.75,4,8,7,15.874507866387544,7,12.0,144.0,132.0,1.0909090909090908,88.0,0.5714285714285714,1.7142857142857142,44.0,2
test,1,0,22406,22406,53560,5,4,1308,8.75,4,8,7,-717.1280499325068,31,-644.0,324.0,968.0,0.3347107438016529,644.0,0.2903225806451613,-20.774193548387096,44.0,5
train,1,0,22406,22406,53560,6,6,1308,8.75,4,8,7,137.17142559585795,6,56.0,144.0,88.0,1.6363636363636365,44.0,0.6666666666666666,9.333333333333334,44.0,1
test,1,0,22406,22406,53560,6,6,1308,8.75,4,8,7,-475.0,25,-380.0,324.0,704.0,0.4602272727272727,380.0,0.36,-15.2,44.0,4
train,1,0,22406,22406,53560,7,6,565,7.0,4,8,7,126.0317420335052,11,76.0,252.0,176.0,1.4318181818181819,104.0,0.6363636363636364,6.909090909090909,44.0,2
test,1,0,22406,22406,53560,7,6,565,7.0,4,8,7,-372.5217845978944,28,-352.0,396.0,748.0,0.5294117647058824,460.0,0.39285714285714285,-12.571428571428571,44.0,5
train,1,0,22406,22406,53560,8,6,610,8.75,4,8,7,137.17142559585795,6,56.0,144.0,88.0,1.6363636363636365,44.0,0.6666666666666666,9.333333333333334,44.0,1
test,1,0,22406,22406,53560,8,6,610,8.75,4,8,7,-477.0278351999552,20,-320.0,252.0,572.0,0.4405594405594406,320.0,0.35,-16.0,44.0,3
train,1,0,22406,22406,53560,9,6,565,7.0,4,8,3,159.1979899370592,11,96.0,216.0,120.0,1.8,48.0,0.5454545454545454,8.727272727272727,24.0,2
test,1,0,22406,22406,53560,9,6,565,7.0,4,8,3,-76.1976377586602,28,-72.0,360.0,432.0,0.8333333333333334,144.0,0.35714285714285715,-2.5714285714285716,24.0,5
train,1,0,22406,22406,53560,10,6,565,8.75,4,8,7,137.17142559585795,6,56.0,144.0,88.0,1.6363636363636365,44.0,0.6666666666666666,9.333333333333334,44.0,1
test,1,0,22406,22406,53560,10,6,565,8.75,4,8,7,-477.0278351999552,20,-320.0,252.0,572.0,0.4405594405594406,320.0,0.35,-16.0,44.0,3
train,1,0,22406,22406,53560,11,6,565,7.0,4,8,3,159.1979899370592,11,96.0,216.0,120.0,1.8,48.0,0.5454545454545454,8.727272727272727,24.0,2
test,1,0,22406,22406,53560,11,6,565,7.0,4,8,3,-76.1976377586602,28,-72.0,360.0,432.0,0.8333333333333334,144.0,0.35714285714285715,-2.5714285714285716,24.0,5
train,1,0,22406,22406,53560,12,6,565,7.0,4,8,2,200.65579981650168,11,121.0,216.0,95.0,2.2736842105263158,38.0,0.5454545454545454,11.0,19.0,2
test,1,0,22406,22406,53560,12,6,565,7.0,4,8,2,19.04940943966505,28,18.0,360.0,342.0,1.0526315789473684,95.0,0.35714285714285715,0.6428571428571429,19.0,5
train,1,0,22406,22406,53560,13,6,565,7.0,4,8,2,200.65579981650168,11,121.0,216.0,95.0,2.2736842105263158,38.0,0.5454545454545454,11.0,19.0,2
test,1,0,22406,22406,53560,13,6,565,7.0,4,8,2,19.04940943966505,28,18.0,360.0,342.0,1.0526315789473684,95.0,0.35714285714285715,0.6428571428571429,19.0,5
train,1,0,22406,22406,53560,14,5,565,7.0,4,8,3,228.63070659909178,12,132.0,252.0,120.0,2.1,60.0,0.5833333333333334,11.0,24.0,2
test,1,0,22406,22406,53560,14,5,565,7.0,4,8,3,-177.4823934929885,35,-180.0,396.0,576.0,0.6875,288.0,0.3142857142857143,-5.142857142857143,24.0,6
train,1,0,22406,22406,53560,15,5,565,7.0,4,8,2,271.9319767883137,12,157.0,252.0,95.0,2.6526315789473682,40.0,0.5833333333333334,13.083333333333334,19.0,2
test,1,0,22406,22406,53560,15,5,565,7.0,4,8,2,-59.16079783099616,35,-60.0,396.0,456.0,0.868421052631579,181.0,0.3142857142857143,-1.7142857142857142,19.0,6
train,1,0,22406,22406,53560,16,5,565,7.0,4,9,3,289.2524848640025,12,167.0,287.0,120.0,2.3916666666666666,55.0,0.5833333333333334,13.916666666666666,24.0,2
test,1,0,22406,22406,53560,16,5,565,7.0,4,9,3,-123.25166214790868,35,-125.0,451.0,576.0,0.7829861111111112,251.0,0.3142857142857143,-3.5714285714285716,24.0,6
train,1,0,22406,22406,53560,17,5,565,7.0,4,9,3,289.2524848640025,12,167.0,287.0,120.0,2.3916666666666666,55.0,0.5833333333333334,13.916666666666666,24.0,2
test,1,0,22406,22406,53560,17,5,565,7.0,4,9,3,-123.25166214790868,35,-125.0,451.0,576.0,0.7829861111111112,251.0,0.3142857142857143,-3.5714285714285716,24.0,6
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192983,162.0,0.3142857142857143,-0.14285714285714285,19.0,6
train,1,0,22406,22406,53560,19,5,565,7.0,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2
test,1,0,22406,22406,53560,19,5,565,7.0,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192983,162.0,0.3142857142857143,-0.14285714285714285,19.0,6
