dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,86986,86986,125287,0,13,744,7.75,3,5,2,207.0,9,69.0,126.0,57.0,2.210526315789474,19.0,0.6666666666666666,7.666666666666667,19.0,1
test,1,0,86986,86986,125287,0,13,744,7.75,3,5,2,118.98319209031163,13,33.0,147.0,114.0,1.2894736842105263,74.0,0.5384615384615384,2.5384615384615383,19.0,3
train,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,560.0285706997457,8,198.0,255.0,57.0,4.473684210526316,19.0,0.625,24.75,19.0,1
test,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,467.8202779914526,13,173.0,306.0,133.0,2.300751879699248,76.0,0.46153846153846156,13.307692307692308,19.0,4
train,1,0,86986,86986,125287,2,14,2784,9.0,5,18,2,491.93495504995377,5,220.0,258.0,38.0,6.7894736842105265,19.0,0.6,44.0,19.0,1
test,1,0,86986,86986,125287,2,14,2784,9.0,5,18,2,122.23371057118409,7,77.0,172.0,95.0,1.8105263157894738,95.0,0.2857142857142857,11.0,19.0,5
train,1,0,86986,86986,125287,3,13,809,9.0,5,10,2,516.8423357272505,6,211.0,230.0,19.0,12.105263157894736,19.0,0.8333333333333334,35.166666666666664,19.0,1
test,1,0,86986,86986,125287,3,13,809,9.0,5,10,2,297.6130037481561,6,81.0,138.0,57.0,2.4210526315789473,38.0,0.5,13.5,19.0,2
train,1,0,86986,86986,125287,4,13,2784,9.0,5,10,2,516.8423357272505,6,211.0,230.0,19.0,12.105263157894736,19.0,0.8333333333333334,35.166666666666664,19.0,1
test,1,0,86986,86986,125287,4,13,2784,9.0,5,10,2,948.6832980505139,10,200.0,276.0,76.0,3.6315789473684212,38.0,0.6,20.0,19.0,2
train,1,0,86986,86986,125287,5,13,809,3.25,6,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1
test,1,0,86986,86986,125287,5,13,809,3.25,6,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210527,114.0,0.2,5.0,19.0,6
train,1,0,86986,86986,125287,6,13,809,3.25,3,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1
test,1,0,86986,86986,125287,6,13,809,3.25,3,21,2,51.407684250508694,11,31.0,202.0,171.0,1.1812865497076024,114.0,0.18181818181818182,2.8181818181818183,19.0,6
train,1,0,86986,86986,125287,7,13,809,5.25,5,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1
test,1,0,86986,86986,125287,7,13,809,5.25,5,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210527,114.0,0.2,5.0,19.0,6
train,1,0,86986,86986,125287,8,13,825,5.25,5,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1
test,1,0,86986,86986,125287,8,13,825,5.25,5,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210527,114.0,0.2,5.0,19.0,6
train,1,0,86986,86986,125287,9,13,809,4.5,5,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1
test,1,0,86986,86986,125287,9,13,809,4.5,5,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210527,114.0,0.2,5.0,19.0,6
train,1,0,86986,86986,125287,10,13,728,4.5,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
test,1,0,86986,86986,125287,10,13,728,4.5,5,23,2,110.67971810589327,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6
train,1,0,86986,86986,125287,11,13,787,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
test,1,0,86986,86986,125287,11,13,787,5.0,5,23,2,110.67971810589327,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6
train,1,0,86986,86986,125287,12,13,728,4.5,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
test,1,0,86986,86986,125287,12,13,728,4.5,5,23,2,110.67971810589327,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6
train,1,0,86986,86986,125287,13,13,809,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
test,1,0,86986,86986,125287,13,13,809,5.0,5,23,2,110.67971810589327,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6
train,1,0,86986,86986,125287,14,13,787,5.0,3,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
test,1,0,86986,86986,125287,14,13,787,5.0,3,23,2,110.67971810589327,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6
train,1,0,86986,86986,125287,15,13,728,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1
