dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0
test,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,64.0,2,32.0,101.0,69.0,1.463768115942029,69.0,0.5,16.0,69.0,1
train,1,0,53560,53560,86986,1,14,1900,8.75,6,21,12,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0
test,1,0,53560,53560,86986,1,14,1900,8.75,6,21,12,64.0,2,32.0,101.0,69.0,1.463768115942029,69.0,0.5,16.0,69.0,1
train,1,0,53560,53560,86986,2,13,2655,7.0,9,21,11,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0
test,1,0,53560,53560,86986,2,13,2655,7.0,9,21,11,74.0,2,37.0,101.0,64.0,1.578125,64.0,0.5,18.5,64.0,1
train,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
train,1,0,53560,53560,86986,4,13,500,6.0,7,26,2,107.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
test,1,0,53560,53560,86986,4,13,500,6.0,7,26,2,214.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
train,1,0,53560,53560,86986,5,14,500,4.75,4,21,11,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0
test,1,0,53560,53560,86986,5,14,500,4.75,4,21,11,74.0,2,37.0,101.0,64.0,1.578125,64.0,0.5,18.5,64.0,1
train,1,0,53560,53560,86986,6,13,500,6.0,3,26,2,107.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
test,1,0,53560,53560,86986,6,13,500,6.0,3,26,2,214.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
train,1,0,53560,53560,86986,7,13,500,8.75,3,26,2,107.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
test,1,0,53560,53560,86986,7,13,500,8.75,3,26,2,214.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
train,1,0,53560,53560,86986,8,13,500,8.75,8,26,12,126.0,1,126.0,126.0,0.0,inf,0.0,1.0,126.0,0.0,0
test,1,0,53560,53560,86986,8,13,500,8.75,8,26,12,252.0,1,126.0,126.0,0.0,inf,0.0,1.0,126.0,0.0,0
train,1,0,53560,53560,86986,9,13,495,7.75,3,26,2,107.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
test,1,0,53560,53560,86986,9,13,495,7.75,3,26,2,214.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
train,1,0,53560,53560,86986,10,13,440,5.75,7,26,2,107.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
test,1,0,53560,53560,86986,10,13,440,5.75,7,26,2,214.0,2,107.0,126.0,19.0,6.631578947368421,19.0,0.5,53.5,19.0,1
train,1,0,53560,53560,86986,11,13,2350,9.0,6,26,3,126.0,1,126.0,126.0,0.0,inf,0.0,1.0,126.0,0.0,0
test,1,0,53560,53560,86986,11,13,2350,9.0,6,26,3,204.0,2,102.0,126.0,24.0,5.25,24.0,0.5,51.0,24.0,1
