generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
0,1,0,22406,22406,53560,16.0,-1183.93,-1000.0,-11568.0,1667.0057367518675,11584.0,0,rolling,net_profit_fitness,1_day,rep_1
1,1,0,22406,22406,53560,47.0,-543.95,-172.5,-9935.0,1148.1357781863237,9982.0,0,rolling,net_profit_fitness,1_day,rep_1
2,1,0,22406,22406,53560,32.0,-240.98,-110.0,-1196.0,326.37287283291806,1228.0,1,rolling,net_profit_fitness,1_day,rep_1
3,1,0,22406,22406,53560,32.0,-207.33,-69.0,-1158.0,321.87518928110546,1190.0,2,rolling,net_profit_fitness,1_day,rep_1
4,1,0,22406,22406,53560,82.0,-183.55,-38.5,-1000.0,330.1581003278902,1082.0,0,rolling,net_profit_fitness,1_day,rep_1
5,1,0,22406,22406,53560,82.0,-112.74,-38.0,-1000.0,235.8094428417432,1082.0,1,rolling,net_profit_fitness,1_day,rep_1
6,1,0,22406,22406,53560,83.0,-106.53,-29.0,-1000.0,263.19384318579546,1083.0,0,rolling,net_profit_fitness,1_day,rep_1
7,1,0,22406,22406,53560,102.0,-132.31,-25.5,-1000.0,315.0303719524917,1102.0,0,rolling,net_profit_fitness,1_day,rep_1
8,1,0,22406,22406,53560,102.0,-100.39,-19.0,-1000.0,281.5467700709311,1102.0,1,rolling,net_profit_fitness,1_day,rep_1
9,1,0,22406,22406,53560,102.0,-44.98,-2.5,-1000.0,230.3846138591514,1102.0,2,rolling,net_profit_fitness,1_day,rep_1
10,1,0,22406,22406,53560,102.0,31.17,63.0,-603.0,84.86400945636555,705.0,3,rolling,net_profit_fitness,1_day,rep_1
11,1,0,22406,22406,53560,102.0,77.23,83.0,-38.0,25.472050438379583,140.0,4,rolling,net_profit_fitness,1_day,rep_1
12,1,0,22406,22406,53560,102.0,87.61,102.0,-38.0,27.02408017104207,140.0,5,rolling,net_profit_fitness,1_day,rep_1
13,1,0,22406,22406,53560,102.0,94.59,102.0,-38.0,27.282323059357527,140.0,6,rolling,net_profit_fitness,1_day,rep_1
14,1,0,22406,22406,53560,102.0,94.95,102.0,-48.0,27.70784631606628,150.0,7,rolling,net_profit_fitness,1_day,rep_1
15,1,0,22406,22406,53560,102.0,98.13,102.0,-48.0,20.715804243488726,150.0,8,rolling,net_profit_fitness,1_day,rep_1
16,1,0,22406,22406,53560,102.0,97.95,102.0,-38.0,20.48077442901321,140.0,9,rolling,net_profit_fitness,1_day,rep_1
17,1,0,22406,22406,53560,102.0,93.43,102.0,-38.0,28.477620133797146,140.0,10,rolling,net_profit_fitness,1_day,rep_1
18,1,0,22406,22406,53560,102.0,99.23,102.0,-38.0,16.129435416922902,140.0,11,rolling,net_profit_fitness,1_day,rep_1
19,1,0,22406,22406,53560,102.0,95.5,102.0,-48.0,28.61711714934602,150.0,12,rolling,net_profit_fitness,1_day,rep_1
20,1,0,22406,22406,53560,102.0,91.34,102.0,-58.0,35.10107195692537,160.0,13,rolling,net_profit_fitness,1_day,rep_1
21,1,0,22406,22406,53560,102.0,87.28,102.0,-58.0,40.43577773719854,160.0,14,rolling,net_profit_fitness,1_day,rep_1
22,1,0,22406,22406,53560,102.0,96.32,102.0,-48.0,23.416250939909403,150.0,15,rolling,net_profit_fitness,1_day,rep_1
23,1,0,22406,22406,53560,102.0,100.49,102.0,37.0,8.823173116197134,65.0,16,rolling,net_profit_fitness,1_day,rep_1
24,1,0,22406,22406,53560,102.0,97.95,102.0,-38.0,18.79413996355505,140.0,17,rolling,net_profit_fitness,1_day,rep_1
25,1,0,22406,22406,53560,102.0,96.11,102.0,-58.0,24.57924516597881,160.0,18,rolling,net_profit_fitness,1_day,rep_1
26,1,0,22406,22406,53560,102.0,94.1,102.0,-48.0,31.98152875986672,150.0,19,rolling,net_profit_fitness,1_day,rep_1
27,1,0,22406,22406,53560,102.0,96.22,102.0,-58.0,27.306927378016788,160.0,20,rolling,net_profit_fitness,1_day,rep_1
28,1,0,22406,22406,53560,102.0,89.52,102.0,-58.0,37.14141144927646,160.0,21,rolling,net_profit_fitness,1_day,rep_1
29,1,0,22406,22406,53560,102.0,98.9,102.0,-38.0,19.781380899801466,140.0,22,rolling,net_profit_fitness,1_day,rep_1
30,1,0,22406,22406,53560,102.0,94.15,102.0,-48.0,29.93743475984541,150.0,23,rolling,net_profit_fitness,1_day,rep_1
31,1,0,22406,22406,53560,102.0,95.54,102.0,-38.0,24.257215941911497,140.0,24,rolling,net_profit_fitness,1_day,rep_1
32,1,0,22406,22406,53560,102.0,98.21,102.0,-38.0,18.416777046152152,140.0,25,rolling,net_profit_fitness,1_day,rep_1
33,1,0,22406,22406,53560,102.0,93.88,102.0,-48.0,30.251564781299688,150.0,26,rolling,net_profit_fitness,1_day,rep_1
34,1,0,22406,22406,53560,102.0,96.14,102.0,-58.0,21.112981310037192,160.0,27,rolling,net_profit_fitness,1_day,rep_1
35,1,0,22406,22406,53560,102.0,95.58,102.0,-58.0,28.47511052115372,160.0,28,rolling,net_profit_fitness,1_day,rep_1
36,1,0,22406,22406,53560,102.0,96.46,102.0,-38.0,20.1095082792276,140.0,29,rolling,net_profit_fitness,1_day,rep_1
37,1,0,22406,22406,53560,102.0,97.01,102.0,-38.0,20.01539558954708,140.0,30,rolling,net_profit_fitness,1_day,rep_1
38,1,0,22406,22406,53560,102.0,90.23,102.0,-58.0,36.296994616384126,160.0,31,rolling,net_profit_fitness,1_day,rep_1
39,1,0,22406,22406,53560,102.0,95.69,102.0,-58.0,25.767685894616854,160.0,32,rolling,net_profit_fitness,1_day,rep_1
40,1,0,22406,22406,53560,102.0,98.53,102.0,26.0,13.78438217401099,76.0,33,rolling,net_profit_fitness,1_day,rep_1
41,1,0,22406,22406,53560,102.0,91.74,102.0,-38.0,32.73697443181784,140.0,34,rolling,net_profit_fitness,1_day,rep_1
42,1,0,22406,22406,53560,102.0,99.68,102.0,30.0,11.212258803414567,72.0,35,rolling,net_profit_fitness,1_day,rep_1
43,1,0,22406,22406,53560,102.0,94.12,102.0,-48.0,29.07575615456279,150.0,36,rolling,net_profit_fitness,1_day,rep_1
44,1,0,22406,22406,53560,102.0,97.75,102.0,-38.0,21.46614670930613,140.0,37,rolling,net_profit_fitness,1_day,rep_1
45,1,0,22406,22406,53560,102.0,94.5,102.0,-58.0,29.58927597162953,160.0,38,rolling,net_profit_fitness,1_day,rep_1
46,1,0,22406,22406,53560,102.0,96.79,102.0,-38.0,20.206157177424604,140.0,39,rolling,net_profit_fitness,1_day,rep_1
47,1,0,22406,22406,53560,102.0,96.35,102.0,-48.0,25.76011128340352,150.0,40,rolling,net_profit_fitness,1_day,rep_1
48,1,0,22406,22406,53560,102.0,87.96,102.0,-48.0,39.78703915659577,150.0,41,rolling,net_profit_fitness,1_day,rep_1
49,1,0,22406,22406,53560,102.0,95.29,102.0,-48.0,25.072539205717124,150.0,42,rolling,net_profit_fitness,1_day,rep_1
50,1,0,22406,22406,53560,102.0,98.38,102.0,-38.0,16.73246406048295,140.0,43,rolling,net_profit_fitness,1_day,rep_1
51,1,0,22406,22406,53560,102.0,93.0,102.0,-38.0,30.6663372841336,140.0,44,rolling,net_profit_fitness,1_day,rep_1
52,1,0,22406,22406,53560,102.0,97.41,102.0,-48.0,22.200689314987635,150.0,45,rolling,net_profit_fitness,1_day,rep_1
53,1,0,22406,22406,53560,102.0,92.39,102.0,-48.0,33.39687731123097,150.0,46,rolling,net_profit_fitness,1_day,rep_1
54,1,0,22406,22406,53560,102.0,93.19,102.0,-48.0,25.4799168290668,150.0,47,rolling,net_profit_fitness,1_day,rep_1
55,1,0,22406,22406,53560,102.0,92.66,102.0,-38.0,30.431316936752022,140.0,48,rolling,net_profit_fitness,1_day,rep_1
56,1,0,22406,22406,53560,102.0,93.3,102.0,-38.0,27.82430446914925,140.0,49,rolling,net_profit_fitness,1_day,rep_1
57,1,0,22406,22406,53560,102.0,93.34,102.0,-48.0,30.36419342620914,150.0,50,rolling,net_profit_fitness,1_day,rep_1
58,1,0,22406,22406,53560,102.0,95.75,102.0,-38.0,25.7738317686836,140.0,51,rolling,net_profit_fitness,1_day,rep_1
59,1,0,22406,22406,53560,102.0,95.09,102.0,-48.0,28.795375259989864,150.0,52,rolling,net_profit_fitness,1_day,rep_1
